,Time,Time(s),Temp(K)
0,2016-12-01 07:39:27,0,-258.45999145507807
1,2016-12-01 07:39:33,6,-258.45999145507807
2,2016-12-01 07:39:38,11,-258.45999145507807
3,2016-12-01 07:39:44,17,-258.45999145507807
4,2016-12-01 07:39:49,22,-258.45999145507807
5,2016-12-01 07:39:55,28,-258.45999145507807
6,2016-12-01 07:40:00,33,-258.45999145507807
7,2016-12-01 07:40:05,38,-258.45999145507807
8,2016-12-01 07:40:10,43,-258.45999145507807
9,2016-12-01 07:40:14,47,-258.45999145507807
10,2016-12-01 07:40:16,49,-258.45999145507807
11,2016-12-01 07:40:22,55,-258.45999145507807
12,2016-12-01 07:40:28,61,-258.45999145507807
13,2016-12-01 07:40:33,66,-258.45999145507807
14,2016-12-01 07:40:38,71,-258.45999145507807
15,2016-12-01 07:40:43,76,-258.45999145507807
16,2016-12-01 07:40:49,82,-258.45999145507807
17,2016-12-01 07:40:55,88,-258.45999145507807
18,2016-12-01 07:41:01,94,-258.45999145507807
19,2016-12-01 07:41:06,99,-258.45999145507807
20,2016-12-01 07:41:11,104,-258.45999145507807
21,2016-12-01 07:41:16,109,-258.45999145507807
22,2016-12-01 07:41:22,115,-258.45999145507807
23,2016-12-01 07:41:27,120,-258.45999145507807
24,2016-12-01 07:41:32,125,-258.45999145507807
25,2016-12-01 07:41:37,130,-258.45999145507807
26,2016-12-01 07:41:42,135,-258.45999145507807
27,2016-12-01 07:41:47,140,-258.45999145507807
28,2016-12-01 07:41:52,145,-258.45999145507807
29,2016-12-01 07:41:57,150,-258.45999145507807
30,2016-12-01 07:42:02,155,-258.45999145507807
31,2016-12-01 07:42:07,160,-258.45999145507807
32,2016-12-01 07:42:12,165,-258.45999145507807
33,2016-12-01 07:42:17,170,-258.45999145507807
34,2016-12-01 07:42:22,175,-258.45999145507807
35,2016-12-01 07:42:28,181,-258.45999145507807
36,2016-12-01 07:42:33,186,-258.45999145507807
37,2016-12-01 07:42:38,191,-258.45999145507807
38,2016-12-01 07:42:44,197,-258.45999145507807
39,2016-12-01 07:42:49,202,-258.45999145507807
40,2016-12-01 07:42:55,208,-258.45999145507807
41,2016-12-01 07:43:00,213,-258.45999145507807
42,2016-12-01 07:43:06,219,-258.45999145507807
43,2016-12-01 07:43:11,224,-258.45999145507807
44,2016-12-01 07:43:16,229,-258.45999145507807
45,2016-12-01 07:43:22,235,-258.45999145507807
46,2016-12-01 07:43:28,241,-258.45999145507807
47,2016-12-01 07:43:33,246,-258.45999145507807
48,2016-12-01 07:43:39,252,-258.45999145507807
49,2016-12-01 07:43:44,257,-258.45999145507807
50,2016-12-01 07:43:50,263,-258.45999145507807
51,2016-12-01 07:43:56,269,-258.45999145507807
52,2016-12-01 07:44:01,274,-258.45999145507807
53,2016-12-01 07:44:06,279,-258.45999145507807
54,2016-12-01 07:44:11,284,-258.45999145507807
55,2016-12-01 07:44:16,289,-258.45999145507807
56,2016-12-01 07:44:22,295,-258.45999145507807
57,2016-12-01 07:44:27,300,-258.45999145507807
58,2016-12-01 07:44:32,305,-258.45999145507807
59,2016-12-01 07:44:37,310,-258.45999145507807
60,2016-12-01 07:44:42,315,-258.45999145507807
61,2016-12-01 07:44:48,321,-258.45999145507807
62,2016-12-01 07:44:53,326,-258.45999145507807
63,2016-12-01 07:44:58,331,-258.45999145507807
64,2016-12-01 07:45:03,336,-258.45999145507807
65,2016-12-01 07:45:08,341,-258.45999145507807
66,2016-12-01 07:45:13,346,-258.45999145507807
67,2016-12-01 07:45:18,351,-258.45999145507807
68,2016-12-01 07:45:23,356,-258.45999145507807
69,2016-12-01 07:45:28,361,-258.45999145507807
70,2016-12-01 07:45:33,366,-258.45999145507807
71,2016-12-01 07:45:39,372,-258.45999145507807
72,2016-12-01 07:45:44,377,-258.45999145507807
73,2016-12-01 07:45:49,382,-258.45999145507807
74,2016-12-01 07:45:54,387,-258.45999145507807
75,2016-12-01 07:46:00,393,-258.45999145507807
76,2016-12-01 07:46:05,398,-258.45999145507807
77,2016-12-01 07:46:11,404,-258.45999145507807
78,2016-12-01 07:46:16,409,-258.45999145507807
79,2016-12-01 07:46:22,415,-258.45999145507807
80,2016-12-01 07:46:27,420,-258.45999145507807
81,2016-12-01 07:46:32,425,-258.45999145507807
82,2016-12-01 07:46:38,431,-258.45999145507807
83,2016-12-01 07:46:43,436,-258.45999145507807
84,2016-12-01 07:46:48,441,-258.45999145507807
85,2016-12-01 07:46:54,447,-258.45999145507807
86,2016-12-01 07:47:00,453,-258.45999145507807
87,2016-12-01 07:47:05,458,-258.45999145507807
88,2016-12-01 07:47:11,464,-258.45999145507807
89,2016-12-01 07:47:16,469,-258.45999145507807
90,2016-12-01 07:47:22,475,-258.45999145507807
91,2016-12-01 07:47:28,481,-258.45999145507807
92,2016-12-01 07:47:33,486,-258.45999145507807
93,2016-12-01 07:47:38,491,-258.45999145507807
94,2016-12-01 07:47:43,496,-258.45999145507807
95,2016-12-01 07:47:48,501,-258.45999145507807
96,2016-12-01 07:47:54,507,-258.45999145507807
97,2016-12-01 07:48:00,513,-258.45999145507807
98,2016-12-01 07:48:05,518,-258.45999145507807
99,2016-12-01 07:48:11,524,-258.45999145507807
100,2016-12-01 07:48:16,529,-258.45999145507807
101,2016-12-01 07:48:21,534,-258.45999145507807
102,2016-12-01 07:48:27,540,-258.45999145507807
103,2016-12-01 07:48:33,546,-258.45999145507807
104,2016-12-01 07:48:38,551,-258.45999145507807
105,2016-12-01 07:48:41,554,-258.45999145507807
