,Time,Time(s),Temp(K)
0,2016-12-01 06:51:46,0,-258.45999145507807
1,2016-12-01 06:51:52,6,-258.45999145507807
2,2016-12-01 06:51:57,11,-258.45999145507807
3,2016-12-01 06:52:02,16,-258.45999145507807
4,2016-12-01 06:52:07,21,-258.45999145507807
5,2016-12-01 06:52:13,27,-258.45999145507807
6,2016-12-01 06:52:19,33,-258.45999145507807
7,2016-12-01 06:52:25,39,-258.45999145507807
8,2016-12-01 06:52:31,45,-258.45999145507807
9,2016-12-01 06:52:35,49,-258.45999145507807
10,2016-12-01 06:52:37,51,-258.45999145507807
11,2016-12-01 06:52:43,57,-258.45999145507807
12,2016-12-01 06:52:48,62,-258.45999145507807
13,2016-12-01 06:52:53,67,-258.45999145507807
14,2016-12-01 06:52:58,72,-258.45999145507807
15,2016-12-01 06:53:03,77,-258.45999145507807
16,2016-12-01 06:53:09,83,-258.45999145507807
17,2016-12-01 06:53:14,88,-258.45999145507807
18,2016-12-01 06:53:20,94,-258.45999145507807
19,2016-12-01 06:53:26,100,-258.45999145507807
20,2016-12-01 06:53:31,105,-258.45999145507807
21,2016-12-01 06:53:37,111,-258.45999145507807
22,2016-12-01 06:53:43,117,-258.45999145507807
23,2016-12-01 06:53:48,122,-258.45999145507807
24,2016-12-01 06:53:54,128,-258.45999145507807
25,2016-12-01 06:53:59,133,-258.45999145507807
26,2016-12-01 06:54:04,138,-258.45999145507807
27,2016-12-01 06:54:09,143,-258.45999145507807
28,2016-12-01 06:54:15,149,-258.45999145507807
29,2016-12-01 06:54:22,156,-258.45999145507807
30,2016-12-01 06:54:28,162,-258.45999145507807
31,2016-12-01 06:54:33,167,-258.45999145507807
32,2016-12-01 06:54:38,172,-258.45999145507807
33,2016-12-01 06:54:44,178,-258.45999145507807
34,2016-12-01 06:54:49,183,-258.45999145507807
35,2016-12-01 06:54:55,189,-258.45999145507807
36,2016-12-01 06:55:01,195,-258.45999145507807
37,2016-12-01 06:55:06,200,-258.45999145507807
38,2016-12-01 06:55:12,206,-258.45999145507807
39,2016-12-01 06:55:17,211,-258.45999145507807
40,2016-12-01 06:55:23,217,-258.45999145507807
41,2016-12-01 06:55:29,223,-258.45999145507807
42,2016-12-01 06:55:35,229,-258.45999145507807
43,2016-12-01 06:55:40,234,-258.45999145507807
44,2016-12-01 06:55:45,239,-258.45999145507807
45,2016-12-01 06:55:50,244,-258.45999145507807
46,2016-12-01 06:55:56,250,-258.45999145507807
47,2016-12-01 06:56:01,255,-258.45999145507807
48,2016-12-01 06:56:06,260,-258.45999145507807
49,2016-12-01 06:56:11,265,-258.45999145507807
50,2016-12-01 06:56:17,271,-258.45999145507807
51,2016-12-01 06:56:23,277,-258.45999145507807
52,2016-12-01 06:56:28,282,-258.45999145507807
53,2016-12-01 06:56:33,287,-258.45999145507807
54,2016-12-01 06:56:38,292,-258.45999145507807
55,2016-12-01 06:56:44,298,-258.45999145507807
56,2016-12-01 06:56:49,303,-258.45999145507807
57,2016-12-01 06:56:55,309,-258.45999145507807
58,2016-12-01 06:57:01,315,-258.45999145507807
59,2016-12-01 06:57:06,320,-258.45999145507807
60,2016-12-01 06:57:11,325,-258.45999145507807
61,2016-12-01 06:57:17,331,-258.45999145507807
62,2016-12-01 06:57:22,336,-258.45999145507807
63,2016-12-01 06:57:27,341,-258.45999145507807
64,2016-12-01 06:57:33,347,-258.45999145507807
65,2016-12-01 06:57:38,352,-258.45999145507807
66,2016-12-01 06:57:43,357,-258.45999145507807
67,2016-12-01 06:57:48,362,-258.45999145507807
68,2016-12-01 06:57:54,368,-258.45999145507807
69,2016-12-01 06:58:00,374,-258.45999145507807
70,2016-12-01 06:58:05,379,-258.45999145507807
71,2016-12-01 06:58:10,384,-258.45999145507807
72,2016-12-01 06:58:15,389,-258.45999145507807
73,2016-12-01 06:58:20,394,-258.45999145507807
74,2016-12-01 06:58:26,400,-258.45999145507807
75,2016-12-01 06:58:31,405,-258.45999145507807
76,2016-12-01 06:58:36,410,-258.45999145507807
77,2016-12-01 06:58:41,415,-258.45999145507807
78,2016-12-01 06:58:47,421,-258.45999145507807
79,2016-12-01 06:58:53,427,-258.45999145507807
80,2016-12-01 06:58:58,432,-258.45999145507807
81,2016-12-01 06:59:04,438,-258.45999145507807
82,2016-12-01 06:59:10,444,-258.45999145507807
83,2016-12-01 06:59:16,450,-258.45999145507807
84,2016-12-01 06:59:21,455,-258.45999145507807
85,2016-12-01 06:59:27,461,-258.45999145507807
86,2016-12-01 06:59:32,466,-258.45999145507807
87,2016-12-01 06:59:38,472,-258.45999145507807
88,2016-12-01 06:59:43,477,-258.45999145507807
89,2016-12-01 06:59:48,482,-258.45999145507807
90,2016-12-01 06:59:54,488,-258.45999145507807
91,2016-12-01 07:00:00,494,-258.45999145507807
92,2016-12-01 07:00:06,500,-258.45999145507807
93,2016-12-01 07:00:11,505,-258.45999145507807
94,2016-12-01 07:00:17,511,-258.45999145507807
95,2016-12-01 07:00:22,516,-258.45999145507807
96,2016-12-01 07:00:28,522,-258.45999145507807
97,2016-12-01 07:00:33,527,-258.45999145507807
98,2016-12-01 07:00:39,533,-258.45999145507807
99,2016-12-01 07:00:44,538,-258.45999145507807
100,2016-12-01 07:00:49,543,-258.45999145507807
101,2016-12-01 07:00:55,549,-258.45999145507807
102,2016-12-01 07:01:00,554,-258.45999145507807
103,2016-12-01 07:01:06,560,-258.45999145507807
104,2016-12-01 07:01:12,566,-258.45999145507807
